Age,Gender (male=1),Gift Size,Billing State
58.0, 0, 91.5, California
57.0, 1, 17.3, New York
109.0, 1, 135.31, Florida
5.0, 1, 53.12, Washington
14.0, 0, 71.34, Texas
38.0, 1, 53.55, Virginia
90.0, 1, 159.29, Illinois
35.0, 0, 33.49, Kansas
54.0, 1, 42.75, Wisconsin
7.0, 1, 25.74, Missouri
31.0, 1, 200.67, New Jersey
58.0, 0, 46.94, Louisiana
76.0, 1, 48.34, Washington
56.0, 0, 12.6, Minnesota
78.0, 0, 187.1, Minnesota
40.0, 1, 38.01, Nebraska
24.0, 1, 266.23, Oklahoma
18.0, 0, 31.38, Florida
52.0, 1, 109.18, Delaware
35.0, 1, 6.25, Alabama
18.0, 1, 82.07, California
21.0, 0, 68.19, California
21.0, 1, 180.94, Texas
44.0, 0, 18.45, New York
60.0, 1, 255.63, Arizona
54.0, 0, 56.11, Ohio
2.0, 0, 117.7, Texas
18.0, 1, 105.44, Illinois
45.0, 1, 3.11, Ohio
46.0, 1, 17.25, Florida
65.0, 1, 20.7, Oklahoma
18.0, 1, 65.08, California
75.0, 0, 180.6, Missouri
21.0, 0, 228.46, Virginia
14.0, 1, 36.38, Florida
61.0, 0, 206.6, North Carolina
77.0, 1, 93.84, Texas
65.0, 1, 196.83, Iowa
40.0, 1, 52.86, North Carolina
56.0, 1, 673.99, Louisiana
35.0, 0, 67.59, Minnesota
56.0, 0, 29.87, Massachusetts
19.0, 0, 155.65, California
43.0, 0, 125.52, Florida
47.0, 0, 44.93, Wisconsin
46.0, 0, 93.72, New York
78.0, 1, 342.73, Texas
44.0, 0, 27.46, Alaska
67.0, 0, 21.52, California
42.0, 1, 290.78, Pennsylvania
74.0, 1, 48.98, Louisiana
36.0, 1, 640.69, New Jersey
21.0, 0, 74.77, Indiana
43.0, 1, 34.04, California
26.0, 0, 86.68, New Jersey
46.0, 1, 26.32, Virginia
5.0, 0, 174.12, Georgia
57.0, 1, 17.22, Alabama
16.0, 0, 95.38, Texas
78.0, 0, 88.05, Iowa
28.0, 0, 29.47, Virginia
31.0, 1, 43.66, Texas
68.0, 1, 27.38, California
25.0, 1, 22.83, New York
43.0, 0, 10.3, Illinois
28.0, 0, 58.78, California
17.0, 1, 96.49, Minnesota
88.0, 0, 347.18, Massachusetts
24.0, 0, 30.75, California
33.0, 1, 70.34, Virginia
43.0, 1, 8.21, Kentucky
7.0, 1, 43.63, New York
37.0, 1, 14.4, Ohio
84.0, 1, 21.66, Arkansas
26.0, 1, 10.09, Michigan
46.0, 0, 60.14, Michigan
59.0, 1, 64.68, Texas
58.0, 0, 33.26, Pennsylvania
34.0, 1, 67.32, Vermont
59.0, 0, 22.68, Ohio
80.0, 1, 53.81, Alabama
9.0, 0, 131.49, Arizona
75.0, 1, 261.32, California
29.0, 0, 290.88, Maryland
9.0, 1, 46.96, Florida
47.0, 0, 6.87, Kentucky
91.0, 0, 26.56, Illinois
31.0, 1, 198.5, Nevada
51.0, 1, 47.32, Texas
29.0, 1, 34.11, Florida
52.0, 0, 35.05, Arkansas
71.0, 0, 30.54, Pennsylvania
68.0, 0, 96.27, California
34.0, 1, 62.88, Kentucky
33.0, 1, 98.07, Oregon
77.0, 1, 77.46, California
16.0, 0, 57.89, Michigan
72.0, 0, 215.44, Illinois
22.0, 0, 20.55, North Carolina
65.0, 1, 232.22, Arizona
37.0, 0, 214.26, California
77.0, 0, 133.53, Alabama
14.0, 0, 879.73, New Jersey
44.0, 1, 53.28, North Carolina
86.0, 0, 109.53, Maryland
56.0, 1, 198.57, California
39.0, 0, 34.45, Ohio
27.0, 0, 478.42, Wisconsin
47.0, 1, 31.85, Texas
79.0, 1, 62.36, Texas
13.0, 0, 41.97, Georgia
6.0, 0, 389.8, Arizona
99.0, 0, 17.55, Massachusetts
90.0, 1, 33.02, California
77.0, 1, 67.63, New York
57.0, 0, 167.96, California
50.0, 0, 58.9, Illinois
37.0, 0, 228.79, New York
29.0, 1, 60.17, New Jersey
5.0, 0, 102.37, Kentucky
27.0, 1, 95.55, Ohio
93.0, 0, 22.39, Florida
45.0, 0, 16.62, California
50.0, 1, 81.9, Texas
80.0, 1, 85.3, Massachusetts
23.0, 1, 140.15, Florida
3.0, 1, 14.26, Florida
21.0, 0, 123.36, Virginia
40.0, 0, 74.8, Michigan
47.0, 1, 113.42, Arizona
76.0, 0, 249.87, Georgia
60.0, 1, 232.1, California
65.0, 0, 137.8, Texas
42.0, 1, 16.43, North Carolina
3.0, 0, 47.78, Texas
54.0, 1, 81.97, Kentucky
7.0, 1, 23.82, South Carolina
63.0, 1, 241.36, Virginia
42.0, 0, 136.5, New York
93.0, 0, 145.8, Tennessee
29.0, 1, 1224.74, Oklahoma
26.0, 0, 20.42, North Carolina
3.0, 0, 26.33, West Virginia
43.0, 0, 218.65, Colorado
46.0, 0, 134.55, Maryland
51.0, 1, 152.43, Florida
95.0, 1, 39.36, New Hampshire
14.0, 0, 207.84, California
30.0, 1, 22.81, Nevada
101.0, 0, 145.38, Wisconsin
35.0, 1, 163.71, Pennsylvania
5.0, 0, 66.44, Ohio
4.0, 1, 49.89, California
38.0, 1, 5.53, Pennsylvania
56.0, 1, 4.91, Texas
60.0, 1, 30.96, Texas
13.0, 1, 32.21, Tennessee
52.0, 0, 30.85, California
16.0, 1, 14.32, California
54.0, 1, 41.92, New Jersey
20.0, 1, 5.09, Oklahoma
64.0, 1, 80.26, Pennsylvania
42.0, 1, 51.66, California
27.0, 1, 50.18, California
0.0, 0, 42.89, Washington
64.0, 1, 5.6, Nebraska
57.0, 0, 36.62, Arkansas
51.0, 1, 26.89, Illinois
52.0, 1, 85.97, Pennsylvania
50.0, 0, 157.74, Washington
59.0, 0, 173.2, Nevada
87.0, 0, 22.43, Virginia
27.0, 0, 50.59, Virginia
41.0, 0, 23.4, Mississippi
29.0, 1, 47.75, New York
10.0, 1, 39.52, Ohio
51.0, 0, 174.38, New York
6.0, 1, 14.98, Tennessee
25.0, 1, 19.25, Iowa
46.0, 1, 78.96, Texas
25.0, 0, 132.28, Washington
15.0, 0, 324.63, New Jersey
18.0, 0, 115.85, Arkansas
60.0, 0, 174.76, Virginia
39.0, 0, 68.83, Texas
22.0, 0, 65.75, Maryland
24.0, 1, 43.72, California
80.0, 1, 18.16, Indiana
58.0, 1, 985.24, Florida
2.0, 0, 17.27, New Jersey
23.0, 1, 63.8, California
46.0, 1, 29.74, New York
62.0, 1, 14.39, Pennsylvania
9.0, 1, 31.4, Nebraska
20.0, 1, 4.87, California
62.0, 1, 15.55, Georgia
14.0, 0, 14.64, Pennsylvania
10.0, 1, 22.23, California
15.0, 0, 241.13, Tennessee
9.0, 0, 137.98, Ohio
47.0, 0, 37.4, Maryland
14.0, 0, 54.49, Hawaii
51.0, 1, 102.18, New York
35.0, 1, 33.43, Virginia
19.0, 1, 49.08, Louisiana
28.0, 0, 134.12, Texas
53.0, 1, 8.94, California
45.0, 1, 161.1, Virginia
45.0, 1, 476.03, Illinois
7.0, 0, 160.51, Minnesota
16.0, 1, 634.95, Oregon
33.0, 1, 4.2, Connecticut
9.0, 0, 138.68, Missouri
1.0, 1, 32.17, Virginia
43.0, 0, 24.21, Iowa
5.0, 0, 17.28, Pennsylvania
45.0, 0, 1081.33, New York
11.0, 0, 27.65, Oregon
64.0, 1, 12.39, Oklahoma
30.0, 0, 175.14, Texas
22.0, 0, 18.72, California
31.0, 1, 64.92, Ohio
90.0, 1, 205.91, California
16.0, 0, 23.08, Texas
71.0, 1, 56.96, New York
6.0, 0, 70.41, Texas
10.0, 0, 16.59, Virginia
16.0, 0, 21.13, North Carolina
91.0, 1, 161.58, South Carolina
15.0, 1, 259.75, New Mexico
73.0, 1, 24.22, Nebraska
42.0, 1, 35.65, Illinois
91.0, 0, 70.1, Massachusetts
74.0, 1, 54.67, Tennessee
57.0, 0, 12.0, Minnesota
81.0, 0, 74.56, New Jersey
17.0, 0, 57.5, Pennsylvania
63.0, 1, 100.18, Texas
31.0, 1, 27.59, California
4.0, 1, 13.06, Arkansas
15.0, 0, 280.81, Florida
60.0, 1, 25.67, New York
60.0, 1, 42.75, Missouri
13.0, 0, 68.71, Kansas
20.0, 0, 72.35, Michigan
17.0, 0, 209.22, Mississippi
104.0, 0, 435.01, Texas
15.0, 1, 179.87, Minnesota
91.0, 0, 49.11, Maryland
12.0, 1, 90.88, New York
14.0, 1, 19.31, Texas
78.0, 0, 73.52, Tennessee
37.0, 1, 114.44, Pennsylvania
73.0, 0, 83.63, Delaware
2.0, 0, 9.09, Colorado
39.0, 1, 17.83, California
22.0, 0, 100.53, Iowa
16.0, 0, 99.22, Michigan
29.0, 0, 231.82, New York
1.0, 0, 86.19, Washington
13.0, 1, 938.97, Maryland
79.0, 1, 121.56, Oregon
21.0, 1, 61.94, Michigan
5.0, 0, 20.51, Illinois
48.0, 0, 29.47, Florida
70.0, 0, 51.9, Minnesota
55.0, 0, 34.76, Michigan
68.0, 1, 188.11, Florida
58.0, 1, 454.88, Delaware
29.0, 0, 37.53, Montana
24.0, 0, 251.33, West Virginia
4.0, 1, 155.3, Georgia
3.0, 1, 46.56, Florida
60.0, 1, 51.67, South Carolina
61.0, 1, 71.99, California
85.0, 0, 1085.69, California
72.0, 1, 216.02, California
43.0, 0, 74.54, Texas
16.0, 0, 50.2, North Carolina
31.0, 1, 20.98, Missouri
40.0, 0, 93.85, Oregon
32.0, 1, 20.38, Georgia
26.0, 0, 178.74, Michigan
52.0, 0, 8.89, California
50.0, 1, 509.7, Florida
32.0, 0, 129.44, New York
52.0, 0, 24.31, Washington
50.0, 1, 33.17, Texas
28.0, 0, 48.51, Nevada
31.0, 1, 28.48, California
49.0, 1, 91.78, Pennsylvania
73.0, 0, 45.81, Michigan
64.0, 0, 79.88, California
25.0, 1, 107.19, New York
45.0, 0, 352.85, Oklahoma
89.0, 0, 20.01, California
46.0, 0, 11.1, New York
22.0, 1, 370.03, Georgia
10.0, 0, 14.7, Illinois
47.0, 0, 51.36, Utah
31.0, 0, 6.39, Kentucky
41.0, 1, 29.32, Oklahoma
20.0, 0, 24.79, Missouri
19.0, 0, 49.89, Texas
11.0, 1, 29.78, Pennsylvania
21.0, 1, 40.08, Georgia
15.0, 0, 69.01, Florida
32.0, 1, 173.34, Nebraska
37.0, 0, 51.7, Washington
33.0, 0, 384.26, Iowa
57.0, 0, 136.0, West Virginia
48.0, 1, 368.85, Pennsylvania
6.0, 1, 27.37, Utah
8.0, 1, 45.33, Oklahoma
26.0, 1, 31.49, Virginia
59.0, 0, 18.27, Pennsylvania
68.0, 0, 20.53, Minnesota
12.0, 0, 59.89, Minnesota
46.0, 1, 16.56, Florida
46.0, 0, 268.24, South Carolina
49.0, 0, 295.92, Louisiana
90.0, 1, 74.47, Mississippi
46.0, 0, 11.39, Texas
22.0, 1, 91.15, Washington
11.0, 1, 11.36, Minnesota
55.0, 1, 1835.83, Arizona
5.0, 1, 23.9, Wisconsin
88.0, 1, 48.18, Connecticut
43.0, 1, 266.22, Virginia
83.0, 0, 39.63, Tennessee
46.0, 1, 57.11, Minnesota
41.0, 0, 47.1, New Jersey
55.0, 1, 82.76, California
27.0, 0, 18.33, Texas
10.0, 1, 55.7, Missouri
67.0, 1, 58.79, Washington
70.0, 1, 22.93, Arizona
30.0, 0, 34.1, New York
44.0, 1, 60.1, Louisiana
56.0, 0, 50.18, Georgia
14.0, 1, 220.99, Ohio
53.0, 1, 30.02, California
52.0, 1, 300.43, California
49.0, 0, 35.18, Texas
0.0, 0, 39.22, New Mexico
3.0, 0, 66.54, California
20.0, 0, 41.76, Texas
1.0, 0, 108.34, Massachusetts
43.0, 1, 74.36, Alaska
8.0, 1, 37.97, North Carolina
57.0, 0, 195.62, Minnesota
19.0, 1, 936.75, Pennsylvania
61.0, 1, 120.56, Texas
37.0, 0, 69.63, California
19.0, 0, 10.59, Wisconsin
63.0, 0, 682.73, California
14.0, 0, 9.74, West Virginia
3.0, 0, 30.35, Pennsylvania
15.0, 1, 234.37, Wisconsin
4.0, 0, 10.85, Missouri
55.0, 1, 40.86, Maryland
55.0, 0, 11.34, Georgia
3.0, 0, 35.71, Wisconsin
33.0, 0, 82.73, New Jersey
10.0, 1, 230.8, Ohio
1.0, 0, 19.43, Georgia
70.0, 0, 91.93, California
0.0, 0, 9.1, California
26.0, 0, 325.17, Virginia
63.0, 0, 94.75, Wisconsin
100.0, 1, 114.28, Massachusetts
22.0, 0, 166.49, California
47.0, 0, 77.2, Washington
26.0, 1, 229.45, Georgia
51.0, 0, 73.38, Michigan
35.0, 0, 184.48, New York
29.0, 0, 156.43, California
29.0, 0, 51.03, Indiana
8.0, 1, 42.96, Oregon
19.0, 1, 76.47, Florida
18.0, 1, 32.64, New York
74.0, 1, 315.87, New Mexico
61.0, 1, 255.71, New York
13.0, 1, 13.9, Florida
51.0, 0, 50.43, Louisiana
54.0, 0, 122.37, Maryland
18.0, 1, 74.82, California
22.0, 0, 24.72, New York
10.0, 1, 61.31, New Mexico
59.0, 0, 47.89, Maryland
51.0, 1, 45.1, Texas
61.0, 0, 41.34, Missouri
86.0, 0, 108.07, Texas
38.0, 0, 8.38, Michigan
72.0, 0, 83.98, Florida
51.0, 0, 17.46, Connecticut
92.0, 1, 278.83, New York
62.0, 1, 49.61, South Dakota
19.0, 1, 33.55, South Carolina
88.0, 0, 499.14, Colorado
